Basis,Rank,Qubit index,Mean Squared Error
X,1,57,0.15542
X,2,29,0.116008
X,3,35,0.108429
X,4,26,0.107702
X,5,27,0.0825
X,6,58,0.081214
X,7,55,0.079416
X,8,56,0.075304
X,9,45,0.072525
X,10,37,0.071404
Y,1,18,0.089875
Y,2,13,0.085344
Y,3,3,0.081102
Y,4,11,0.079741
Y,5,0,0.078471
Y,6,15,0.077608
Y,7,27,0.077463
Y,8,19,0.07401
Y,9,46,0.072085
Y,10,29,0.07021
Z,1,33,0.336129
Z,2,27,0.313589
Z,3,11,0.300534
Z,4,8,0.299971
Z,5,2,0.293297
Z,6,12,0.292127
Z,7,14,0.2739
Z,8,24,0.262508
Z,9,41,0.253883
Z,10,28,0.245073
